,city,company,date,price
5,WUH,YZ,2020-03-17,481
6,CAN,AB,2020-03-18,581
7,CAN,XX,2020-03-18,307
8,CTU,AB,2020-03-18,333
9,CTU,YZ,2020-03-18,540
10,WUH,BB,2020-03-18,328
11,WUH,AB,2020-03-19,310
12,CAN,BB,2020-03-20,466
13,PEK,BB,2020-03-20,414
14,WUH,XX,2020-03-20,458
15,CTU,BB,2020-03-21,392
16,WUH,AB,2020-03-21,561
17,CAN,YZ,2020-03-22,532
18,PEK,XX,2020-03-22,308
19,CTU,AB,2020-03-23,304
20,CTU,BB,2020-03-23,308
21,PEK,AB,2020-03-23,303
22,PEK,XX,2020-03-23,366
23,PEK,YZ,2020-03-23,596
24,WUH,BB,2020-03-24,418
25,CTU,BB,2020-03-25,531
26,CTU,YZ,2020-03-25,456
27,CTU,YZ,2020-03-25,597
28,CTU,YZ,2020-03-25,302
29,CTU,YZ,2020-03-25,513
30,PEK,AB,2020-03-25,509
31,PEK,XX,2020-03-25,485
32,PEK,XX,2020-03-25,488
33,PEK,YZ,2020-03-25,443
34,CTU,YZ,2020-03-26,556
35,WUH,XX,2020-03-26,562
36,WUH,YZ,2020-03-26,429
37,WUH,AB,2020-03-27,454
38,CTU,XX,2020-03-28,379
39,CTU,YZ,2020-03-28,571
40,PEK,AB,2020-03-28,333
41,CAN,AB,2020-03-29,481
42,CAN,YZ,2020-03-29,362
43,CTU,XX,2020-03-29,325
44,PEK,YZ,2020-03-29,320
45,WUH,BB,2020-03-29,398
46,CAN,XX,2020-03-30,480
47,CTU,XX,2020-03-30,418
48,WUH,BB,2020-03-30,325
49,CAN,XX,2020-03-31,549
50,CTU,AB,2020-03-31,571
51,CAN,BB,2020-04-01,531
52,CAN,XX,2020-04-01,316
53,CTU,YZ,2020-04-01,388
54,CTU,AB,2020-04-02,375
55,CTU,YZ,2020-04-02,306
56,PEK,XX,2020-04-02,385
57,WUH,YZ,2020-04-02,373
58,PEK,BB,2020-04-03,392
59,PEK,BB,2020-04-03,388
60,PEK,YZ,2020-04-03,511
61,PEK,YZ,2020-04-03,590
62,WUH,YZ,2020-04-03,487
63,WUH,YZ,2020-04-03,544
64,CAN,AB,2020-04-04,386
65,CTU,AB,2020-04-04,444
66,CTU,AB,2020-04-04,548
67,CTU,YZ,2020-04-04,557
68,WUH,BB,2020-04-04,505
69,PEK,AB,2020-04-05,424
70,WUH,BB,2020-04-05,527
71,WUH,YZ,2020-04-05,514
72,CTU,AB,2020-04-06,514
73,CAN,BB,2020-04-07,505
74,CAN,YZ,2020-04-07,395
75,CTU,YZ,2020-04-07,571
76,PEK,AB,2020-04-07,493
77,WUH,AB,2020-04-07,386
78,CAN,AB,2020-04-08,390
79,CAN,BB,2020-04-08,561
80,CTU,AB,2020-04-08,503
81,PEK,YZ,2020-04-08,301
82,CTU,AB,2020-04-09,419
83,CTU,XX,2020-04-09,336
84,WUH,BB,2020-04-09,382
85,CTU,XX,2020-04-10,311
86,WUH,XX,2020-04-10,323
87,WUH,YZ,2020-04-10,359
88,CTU,AB,2020-04-11,584
89,CTU,BB,2020-04-11,521
90,CTU,BB,2020-04-11,580
91,PEK,BB,2020-04-11,432
92,PEK,XX,2020-04-11,345
93,PEK,YZ,2020-04-11,454
94,WUH,BB,2020-04-11,487
95,CTU,XX,2020-04-12,422
96,PEK,XX,2020-04-12,521
97,CTU,BB,2020-04-13,406
98,CTU,YZ,2020-04-13,541
99,PEK,BB,2020-04-13,589
0,CAN,AB,2020-03-15,563
1,CAN,BB,2020-03-15,487
2,CAN,XX,2020-03-15,540
3,PEK,XX,2020-03-15,457
4,CAN,BB,2020-03-16,322
5,CAN,XX,2020-03-16,510
6,CTU,BB,2020-03-16,515
7,PEK,AB,2020-03-16,480
8,PEK,AB,2020-03-16,428
9,PEK,YZ,2020-03-16,325
10,WUH,BB,2020-03-16,387
11,CTU,AB,2020-03-17,568
12,PEK,AB,2020-03-17,390
13,PEK,BB,2020-03-17,428
14,CAN,AB,2020-03-18,349
15,CTU,BB,2020-03-18,340
16,PEK,AB,2020-03-18,371
17,PEK,XX,2020-03-18,415
18,PEK,AB,2020-03-19,405
19,WUH,BB,2020-03-19,389
20,WUH,YZ,2020-03-20,477
21,PEK,BB,2020-03-21,341
22,PEK,XX,2020-03-21,392
23,WUH,AB,2020-03-21,323
24,CTU,YZ,2020-03-22,492
25,CAN,YZ,2020-03-23,328
26,CTU,AB,2020-03-23,528
27,CTU,YZ,2020-03-23,456
28,PEK,YZ,2020-03-23,345
29,CAN,BB,2020-03-24,534
30,CAN,YZ,2020-03-24,320
31,PEK,AB,2020-03-24,439
32,PEK,BB,2020-03-24,341
33,WUH,BB,2020-03-24,415
34,WUH,XX,2020-03-24,312
35,CTU,YZ,2020-03-25,400
36,PEK,XX,2020-03-25,426
37,WUH,BB,2020-03-25,593
38,CAN,XX,2020-03-26,383
39,PEK,BB,2020-03-26,310
40,PEK,YZ,2020-03-26,509
41,WUH,XX,2020-03-26,555
42,CAN,AB,2020-03-27,416
43,CTU,XX,2020-03-27,321
44,PEK,YZ,2020-03-27,537
45,WUH,XX,2020-03-27,585
46,CAN,BB,2020-03-29,445
47,CAN,BB,2020-03-29,414
48,CAN,YZ,2020-03-29,346
49,CTU,AB,2020-03-29,584
50,CTU,AB,2020-03-29,566
51,CTU,XX,2020-03-29,470
52,PEK,BB,2020-03-29,585
53,WUH,AB,2020-03-29,464
54,WUH,BB,2020-03-29,427
55,WUH,YZ,2020-03-29,304
56,CAN,AB,2020-03-30,559
57,CAN,XX,2020-03-30,373
58,CTU,AB,2020-03-30,417
59,CAN,AB,2020-03-31,563
60,CAN,YZ,2020-03-31,516
61,CTU,YZ,2020-03-31,569
62,PEK,BB,2020-03-31,383
63,CTU,YZ,2020-04-01,377
64,PEK,AB,2020-04-01,409
65,CAN,YZ,2020-04-02,585
66,PEK,BB,2020-04-02,482
67,WUH,AB,2020-04-02,393
68,WUH,YZ,2020-04-02,514
69,CTU,YZ,2020-04-03,517
70,PEK,AB,2020-04-03,387
71,PEK,BB,2020-04-03,437
72,WUH,BB,2020-04-03,519
73,CAN,BB,2020-04-04,369
74,WUH,XX,2020-04-04,517
75,WUH,YZ,2020-04-04,535
76,CAN,YZ,2020-04-05,522
77,WUH,XX,2020-04-05,402
78,CAN,XX,2020-04-06,438
79,CAN,YZ,2020-04-06,367
80,CTU,YZ,2020-04-06,513
81,CAN,YZ,2020-04-07,483
82,CTU,AB,2020-04-07,536
83,CTU,XX,2020-04-07,457
84,PEK,AB,2020-04-07,395
85,CTU,BB,2020-04-08,343
86,CTU,XX,2020-04-08,419
87,PEK,YZ,2020-04-08,359
88,WUH,AB,2020-04-08,477
89,CTU,BB,2020-04-09,425
90,CAN,AB,2020-04-10,379
91,PEK,XX,2020-04-10,332
92,CTU,AB,2020-04-11,355
93,PEK,XX,2020-04-11,325
94,WUH,XX,2020-04-12,482
95,CTU,BB,2020-04-13,551
96,CTU,YZ,2020-04-13,371
97,CTU,YZ,2020-04-13,518
98,PEK,YZ,2020-04-13,469
99,WUH,AB,2020-04-13,542
0,CAN,AB,2020-03-15,319
1,CAN,XX,2020-03-15,454
2,CAN,XX,2020-03-15,541
3,CTU,AB,2020-03-15,594
4,CTU,XX,2020-03-15,564
5,WUH,AB,2020-03-15,319
6,WUH,XX,2020-03-15,335
7,WUH,BB,2020-03-17,569
8,WUH,YZ,2020-03-17,450
9,CAN,BB,2020-03-18,440
10,CAN,YZ,2020-03-18,385
11,CTU,YZ,2020-03-18,316
12,PEK,AB,2020-03-18,357
13,PEK,AB,2020-03-18,342
14,PEK,YZ,2020-03-18,362
15,CAN,AB,2020-03-19,592
16,CAN,YZ,2020-03-19,550
17,PEK,XX,2020-03-19,326
18,CAN,AB,2020-03-20,449
19,CAN,BB,2020-03-20,529
20,CAN,YZ,2020-03-20,524
21,CTU,XX,2020-03-20,394
22,PEK,AB,2020-03-20,593
23,PEK,XX,2020-03-20,599
24,CAN,BB,2020-03-21,529
25,CAN,XX,2020-03-21,330
26,CAN,YZ,2020-03-21,566
27,CTU,BB,2020-03-22,517
28,CTU,XX,2020-03-22,440
29,PEK,BB,2020-03-22,355
30,PEK,XX,2020-03-22,580
31,PEK,YZ,2020-03-22,561
32,CAN,XX,2020-03-23,474
33,CAN,XX,2020-03-23,516
34,CTU,BB,2020-03-23,367
35,CTU,YZ,2020-03-23,360
36,PEK,XX,2020-03-23,347
37,WUH,XX,2020-03-23,334
38,WUH,YZ,2020-03-23,345
39,CTU,BB,2020-03-24,420
40,WUH,YZ,2020-03-24,434
41,PEK,XX,2020-03-25,458
42,PEK,XX,2020-03-25,513
43,PEK,AB,2020-03-26,537
44,PEK,XX,2020-03-26,357
45,CAN,BB,2020-03-27,543
46,WUH,XX,2020-03-27,579
47,CTU,AB,2020-03-28,424
48,CTU,XX,2020-03-28,301
49,WUH,AB,2020-03-29,505
50,WUH,YZ,2020-03-29,581
51,WUH,XX,2020-03-30,421
52,WUH,YZ,2020-03-30,341
53,CAN,BB,2020-03-31,522
54,CTU,AB,2020-03-31,482
55,PEK,BB,2020-03-31,358
56,CAN,BB,2020-04-01,313
57,PEK,BB,2020-04-01,305
58,PEK,XX,2020-04-01,441
59,PEK,YZ,2020-04-01,596
60,CAN,BB,2020-04-02,392
61,CTU,BB,2020-04-02,401
62,CTU,BB,2020-04-02,408
63,CTU,XX,2020-04-02,335
64,WUH,BB,2020-04-02,361
65,PEK,AB,2020-04-03,351
66,PEK,BB,2020-04-03,331
67,PEK,YZ,2020-04-03,304
68,WUH,BB,2020-04-03,320
69,CTU,BB,2020-04-05,442
70,PEK,AB,2020-04-05,332
71,WUH,YZ,2020-04-06,345
72,CTU,XX,2020-04-07,369
73,WUH,XX,2020-04-07,432
74,WUH,YZ,2020-04-07,374
75,CAN,XX,2020-04-08,494
76,CAN,YZ,2020-04-08,422
77,WUH,AB,2020-04-08,497
78,WUH,XX,2020-04-08,378
79,CAN,YZ,2020-04-09,503
80,PEK,AB,2020-04-09,532
81,WUH,YZ,2020-04-09,589
82,WUH,YZ,2020-04-09,391
83,CAN,AB,2020-04-10,510
84,CAN,BB,2020-04-10,532
85,PEK,AB,2020-04-10,351
86,PEK,AB,2020-04-10,561
87,WUH,AB,2020-04-10,485
88,WUH,YZ,2020-04-10,505
89,CAN,YZ,2020-04-11,516
90,CTU,BB,2020-04-11,458
91,CTU,YZ,2020-04-11,473
92,PEK,XX,2020-04-11,429
93,WUH,XX,2020-04-11,552
94,WUH,XX,2020-04-11,588
95,CAN,YZ,2020-04-12,584
96,PEK,XX,2020-04-12,455
97,WUH,BB,2020-04-12,426
98,CTU,AB,2020-04-13,421
99,WUH,AB,2020-04-13,492
0,CAN,YZ,2020-03-15,468
1,CTU,BB,2020-03-15,415
2,WUH,BB,2020-03-15,415
3,WUH,BB,2020-03-16,301
4,CAN,XX,2020-03-18,309
5,CTU,XX,2020-03-18,499
6,CTU,YZ,2020-03-18,375
7,PEK,XX,2020-03-18,547
8,CAN,BB,2020-03-19,374
9,CAN,BB,2020-03-19,596
10,PEK,YZ,2020-03-19,334
11,WUH,BB,2020-03-19,516
12,WUH,YZ,2020-03-19,366
13,CAN,YZ,2020-03-20,384
14,CTU,AB,2020-03-20,491
15,CTU,XX,2020-03-20,332
16,PEK,AB,2020-03-20,421
17,WUH,AB,2020-03-20,560
18,WUH,YZ,2020-03-20,344
19,WUH,YZ,2020-03-20,456
20,CAN,AB,2020-03-21,553
21,CAN,BB,2020-03-21,379
22,CTU,BB,2020-03-21,455
23,PEK,YZ,2020-03-21,462
24,CTU,AB,2020-03-22,368
25,PEK,XX,2020-03-23,435
26,PEK,YZ,2020-03-23,421
27,CAN,AB,2020-03-24,347
28,CAN,YZ,2020-03-24,533
29,CTU,XX,2020-03-24,448
30,CTU,XX,2020-03-24,365
31,PEK,AB,2020-03-24,328
32,PEK,YZ,2020-03-24,597
33,WUH,YZ,2020-03-24,473
34,CAN,XX,2020-03-25,564
35,PEK,XX,2020-03-25,327
36,CAN,AB,2020-03-26,430
37,CTU,YZ,2020-03-26,507
38,PEK,AB,2020-03-26,541
39,PEK,XX,2020-03-26,433
40,WUH,YZ,2020-03-26,387
41,CAN,XX,2020-03-27,411
42,PEK,BB,2020-03-27,317
43,PEK,YZ,2020-03-27,461
44,CAN,XX,2020-03-28,486
45,CTU,BB,2020-03-28,389
46,PEK,BB,2020-03-28,494
47,PEK,YZ,2020-03-28,474
48,PEK,XX,2020-03-29,411
49,PEK,XX,2020-03-29,599
50,CAN,AB,2020-03-30,561
51,PEK,AB,2020-03-30,474
52,WUH,BB,2020-03-30,565
53,WUH,AB,2020-04-01,444
54,CTU,YZ,2020-04-02,472
55,PEK,XX,2020-04-02,319
56,WUH,BB,2020-04-02,310
57,CTU,BB,2020-04-03,464
58,WUH,XX,2020-04-03,488
59,CAN,AB,2020-04-04,558
60,CTU,XX,2020-04-04,521
61,PEK,AB,2020-04-04,463
62,PEK,YZ,2020-04-04,577
63,CTU,YZ,2020-04-05,417
64,WUH,BB,2020-04-06,479
65,WUH,YZ,2020-04-06,358
66,CAN,BB,2020-04-07,564
67,CTU,XX,2020-04-07,509
68,PEK,BB,2020-04-07,539
69,PEK,XX,2020-04-07,568
70,WUH,BB,2020-04-07,353
71,WUH,BB,2020-04-07,329
72,CAN,XX,2020-04-08,548
73,CAN,XX,2020-04-08,371
74,CTU,AB,2020-04-08,529
75,CTU,BB,2020-04-08,343
76,PEK,XX,2020-04-08,475
77,PEK,YZ,2020-04-08,462
78,WUH,BB,2020-04-08,507
79,WUH,YZ,2020-04-08,423
80,WUH,YZ,2020-04-08,589
81,CTU,AB,2020-04-09,416
82,CTU,BB,2020-04-09,390
83,CTU,YZ,2020-04-09,597
84,PEK,AB,2020-04-09,568
85,PEK,XX,2020-04-09,455
86,PEK,YZ,2020-04-09,542
87,CAN,AB,2020-04-10,426
88,PEK,BB,2020-04-10,432
89,PEK,YZ,2020-04-10,471
90,CTU,XX,2020-04-11,418
91,CTU,XX,2020-04-11,361
92,PEK,AB,2020-04-11,517
93,PEK,YZ,2020-04-11,407
94,CAN,AB,2020-04-12,303
95,CTU,AB,2020-04-12,485
96,PEK,AB,2020-04-12,548
97,PEK,AB,2020-04-12,305
98,CAN,AB,2020-04-13,560
99,WUH,XX,2020-04-13,590
0,CAN,AB,2020-03-15,318
1,CAN,YZ,2020-03-15,454
2,CTU,AB,2020-03-15,559
3,CTU,BB,2020-03-15,587
4,CTU,XX,2020-03-15,394
5,CTU,YZ,2020-03-15,597
6,PEK,BB,2020-03-15,527
7,PEK,XX,2020-03-15,490
8,WUH,XX,2020-03-15,477
9,CTU,XX,2020-03-16,376
10,PEK,BB,2020-03-16,399
11,WUH,XX,2020-03-16,533
12,CAN,AB,2020-03-17,386
13,CAN,BB,2020-03-17,341
14,CTU,AB,2020-03-17,498
15,PEK,BB,2020-03-17,472
16,WUH,AB,2020-03-17,479
17,WUH,BB,2020-03-18,418
18,CAN,BB,2020-03-19,436
19,CAN,XX,2020-03-19,500
20,CAN,YZ,2020-03-19,456
21,PEK,AB,2020-03-19,459
22,PEK,BB,2020-03-19,564
23,WUH,BB,2020-03-20,401
24,CAN,BB,2020-03-21,346
25,CAN,BB,2020-03-21,467
26,PEK,XX,2020-03-21,379
27,PEK,YZ,2020-03-21,542
28,PEK,YZ,2020-03-21,403
29,CAN,YZ,2020-03-22,328
30,PEK,XX,2020-03-22,384
31,WUH,XX,2020-03-23,590
32,WUH,XX,2020-03-23,368
33,CTU,AB,2020-03-24,542
34,CTU,BB,2020-03-24,475
35,CTU,YZ,2020-03-24,455
36,PEK,XX,2020-03-24,317
37,WUH,AB,2020-03-24,356
38,CAN,AB,2020-03-25,512
39,PEK,BB,2020-03-25,522
40,CAN,YZ,2020-03-26,499
41,CTU,BB,2020-03-26,340
42,CAN,BB,2020-03-27,592
43,CAN,XX,2020-03-27,436
44,CTU,AB,2020-03-27,398
45,CTU,XX,2020-03-27,518
46,PEK,BB,2020-03-27,306
47,PEK,XX,2020-03-27,392
48,PEK,XX,2020-03-27,347
49,PEK,XX,2020-03-27,336
50,PEK,YZ,2020-03-27,360
51,CAN,AB,2020-03-28,596
52,PEK,AB,2020-03-28,435
53,PEK,YZ,2020-03-28,485
54,CAN,XX,2020-03-29,439
55,PEK,BB,2020-03-29,342
56,WUH,BB,2020-03-29,553
57,WUH,XX,2020-03-29,328
58,CTU,AB,2020-03-31,598
59,PEK,XX,2020-03-31,384
60,WUH,AB,2020-03-31,303
61,CAN,YZ,2020-04-01,363
62,PEK,BB,2020-04-01,373
63,PEK,YZ,2020-04-02,415
64,CAN,BB,2020-04-03,339
65,CAN,BB,2020-04-03,388
66,CAN,BB,2020-04-03,597
67,CAN,XX,2020-04-03,477
68,CAN,YZ,2020-04-03,453
69,CTU,BB,2020-04-04,578
70,PEK,YZ,2020-04-04,307
71,WUH,XX,2020-04-04,314
72,CTU,AB,2020-04-05,520
73,CTU,AB,2020-04-05,594
74,CTU,BB,2020-04-05,422
75,PEK,AB,2020-04-06,599
76,CAN,XX,2020-04-07,396
77,CTU,BB,2020-04-07,374
78,PEK,BB,2020-04-07,518
79,PEK,XX,2020-04-07,506
80,WUH,AB,2020-04-07,314
81,WUH,XX,2020-04-07,573
82,WUH,YZ,2020-04-07,449
83,CAN,XX,2020-04-08,397
84,CAN,XX,2020-04-08,521
85,CAN,YZ,2020-04-09,433
86,PEK,XX,2020-04-09,412
87,WUH,XX,2020-04-09,515
88,CTU,XX,2020-04-10,524
89,PEK,XX,2020-04-10,514
90,PEK,YZ,2020-04-10,481
91,CTU,AB,2020-04-11,505
92,PEK,YZ,2020-04-11,562
93,WUH,YZ,2020-04-11,579
94,PEK,AB,2020-04-12,548
95,WUH,XX,2020-04-12,400
96,CAN,XX,2020-04-13,599
97,CAN,XX,2020-04-13,539
98,CTU,AB,2020-04-13,313
99,CTU,YZ,2020-04-13,356
0,CAN,BB,2020-03-15,506
1,WUH,AB,2020-03-15,390
2,WUH,AB,2020-03-15,473
3,WUH,BB,2020-03-15,439
4,CAN,YZ,2020-03-16,334
5,PEK,BB,2020-03-16,371
6,WUH,YZ,2020-03-16,566
7,CTU,YZ,2020-03-17,479
8,CTU,XX,2020-03-18,503
9,CTU,YZ,2020-03-18,564
10,PEK,BB,2020-03-18,593
11,CAN,YZ,2020-03-19,371
12,CTU,XX,2020-03-19,478
13,CAN,XX,2020-03-20,352
14,CTU,YZ,2020-03-20,579
15,PEK,AB,2020-03-20,554
16,CAN,AB,2020-03-21,575
17,CAN,XX,2020-03-21,424
18,CAN,YZ,2020-03-21,493
19,PEK,AB,2020-03-21,421
20,WUH,YZ,2020-03-21,527
21,PEK,BB,2020-03-22,581
22,WUH,YZ,2020-03-22,338
23,WUH,XX,2020-03-23,307
24,CTU,BB,2020-03-24,597
25,PEK,BB,2020-03-24,599
26,PEK,YZ,2020-03-24,485
27,CTU,XX,2020-03-25,345
28,WUH,AB,2020-03-25,560
29,PEK,AB,2020-03-26,399
30,PEK,YZ,2020-03-26,400
31,WUH,YZ,2020-03-26,589
32,WUH,YZ,2020-03-26,501
33,CAN,BB,2020-03-27,315
34,CTU,AB,2020-03-27,390
35,PEK,XX,2020-03-27,405
36,CAN,AB,2020-03-28,495
37,CTU,YZ,2020-03-28,382
38,CTU,XX,2020-03-29,389
39,WUH,BB,2020-03-30,316
40,CAN,XX,2020-03-31,560
41,PEK,XX,2020-03-31,498
42,CAN,YZ,2020-04-01,484
43,PEK,YZ,2020-04-01,578
44,WUH,XX,2020-04-01,551
45,CAN,AB,2020-04-02,376
46,CTU,YZ,2020-04-02,394
47,PEK,AB,2020-04-02,509
48,PEK,AB,2020-04-02,407
49,PEK,AB,2020-04-02,300
50,PEK,AB,2020-04-02,401
51,PEK,YZ,2020-04-02,562
52,WUH,AB,2020-04-02,340
53,WUH,BB,2020-04-02,371
54,CTU,XX,2020-04-03,569
55,WUH,YZ,2020-04-03,458
56,WUH,YZ,2020-04-03,551
57,CAN,AB,2020-04-04,426
58,CAN,AB,2020-04-04,376
59,CTU,AB,2020-04-04,456
60,WUH,XX,2020-04-04,492
61,CAN,BB,2020-04-05,321
62,CTU,BB,2020-04-05,533
63,CTU,BB,2020-04-05,341
64,CTU,XX,2020-04-05,540
65,CAN,AB,2020-04-06,383
66,CTU,BB,2020-04-06,523
67,WUH,XX,2020-04-06,561
68,CTU,XX,2020-04-07,367
69,PEK,AB,2020-04-07,418
70,PEK,XX,2020-04-07,593
71,PEK,YZ,2020-04-07,569
72,PEK,YZ,2020-04-07,460
73,WUH,XX,2020-04-07,315
74,WUH,YZ,2020-04-07,574
75,CAN,AB,2020-04-08,393
76,WUH,AB,2020-04-08,324
77,WUH,BB,2020-04-08,301
78,CAN,YZ,2020-04-09,497
79,CTU,YZ,2020-04-09,545
80,WUH,YZ,2020-04-09,356
81,CAN,YZ,2020-04-10,458
82,CAN,YZ,2020-04-10,306
83,PEK,AB,2020-04-10,389
84,PEK,AB,2020-04-10,483
85,PEK,YZ,2020-04-10,508
86,WUH,XX,2020-04-10,337
87,PEK,XX,2020-04-11,352
88,PEK,YZ,2020-04-11,312
89,CTU,XX,2020-04-12,433
90,CTU,YZ,2020-04-12,556
91,PEK,AB,2020-04-12,586
92,CAN,BB,2020-04-13,581
93,CAN,YZ,2020-04-13,506
94,CTU,XX,2020-04-13,539
95,PEK,AB,2020-04-13,523
96,PEK,YZ,2020-04-13,573
97,PEK,YZ,2020-04-13,562
98,WUH,BB,2020-04-13,451
99,WUH,YZ,2020-04-13,330
0,WUH,BB,2020-03-15,309
1,WUH,BB,2020-03-15,392
2,CAN,AB,2020-03-16,435
3,CAN,YZ,2020-03-16,358
4,CTU,BB,2020-03-16,415
5,WUH,XX,2020-03-16,446
6,CAN,AB,2020-03-17,350
7,WUH,AB,2020-03-18,574
8,WUH,XX,2020-03-18,339
9,WUH,XX,2020-03-18,367
10,WUH,YZ,2020-03-18,379
11,CAN,AB,2020-03-19,452
12,CTU,XX,2020-03-19,315
13,PEK,BB,2020-03-19,430
14,PEK,XX,2020-03-19,551
15,WUH,XX,2020-03-20,358
16,CTU,XX,2020-03-21,502
17,PEK,AB,2020-03-21,583
18,CAN,YZ,2020-03-22,568
19,CTU,AB,2020-03-22,457
20,CTU,YZ,2020-03-22,349
21,PEK,BB,2020-03-22,399
22,WUH,BB,2020-03-22,442
23,WUH,BB,2020-03-22,447
24,CTU,AB,2020-03-23,305
25,CTU,XX,2020-03-23,570
26,CTU,YZ,2020-03-23,594
27,PEK,YZ,2020-03-23,326
28,CAN,XX,2020-03-24,406
29,CTU,XX,2020-03-24,409
30,PEK,AB,2020-03-24,536
31,WUH,YZ,2020-03-24,418
32,CAN,XX,2020-03-25,360
33,CAN,YZ,2020-03-25,362
34,CTU,XX,2020-03-25,468
35,CTU,YZ,2020-03-25,328
36,WUH,AB,2020-03-25,479
37,CAN,XX,2020-03-26,364
38,CTU,XX,2020-03-26,495
39,PEK,AB,2020-03-26,588
40,CAN,XX,2020-03-27,457
41,CTU,XX,2020-03-27,348
42,WUH,XX,2020-03-27,513
43,WUH,XX,2020-03-28,305
44,CAN,AB,2020-03-29,460
45,CTU,XX,2020-03-29,491
46,PEK,XX,2020-03-29,383
47,WUH,BB,2020-03-29,479
48,CAN,YZ,2020-03-30,517
49,CTU,XX,2020-03-30,480
50,CAN,YZ,2020-03-31,357
51,CTU,YZ,2020-03-31,475
52,PEK,BB,2020-03-31,322
53,WUH,XX,2020-03-31,424
54,PEK,BB,2020-04-01,517
55,PEK,XX,2020-04-01,418
56,PEK,YZ,2020-04-01,596
57,PEK,YZ,2020-04-01,580
58,CTU,YZ,2020-04-02,386
59,CTU,YZ,2020-04-02,434
60,PEK,XX,2020-04-03,582
61,PEK,YZ,2020-04-03,500
62,CAN,XX,2020-04-04,488
63,CTU,AB,2020-04-04,405
64,PEK,AB,2020-04-04,545
